"ID" "elev" "temp" "windex_20000" "cloudcover" "wbd_index" "cdist" "solar"
"USC00351946" 1973.6 9.40432028739304 -0.0227229173782489 56.1716666666667 5.11854847374645 182650.082523289 184.950676077527
"USC00352374" 249.9 17.6866503326729 0.0154450881794921 55.04 0.47517880950068 93594.6543234744 177.509570723528
"USC00354126" 329.2 17.6683534666035 0.0887824781907165 51.4766666666667 0.295601334884476 101941.134421886 205.474619343815
"USC00354835" 1242.7 14.782681193407 0.0739028183708285 54.9308333333333 0.893612709745431 159999.114555883 195.922710653832
"USC00355050" 217 17.1673995820663 0.0282494853436024 55.0966666666667 1.12715772996472 108199.060230411 189.105734252745
"USC00356213" 388.6 16.6770275048694 0.0270743197966324 50.4658333333333 1.15805817293469 135661.95451161 141.472438291824
"USC00358173" 1277.7 17.9043616747932 -0.0687038137421468 48.1091666666667 3.03678163398506 284222.60769165 238.103641519359
"USC00358536" 627.9 16.4431169698759 0.0653483999115763 49.3991666666667 0.628378056808808 144988.968702922 147.546074485804
"USC00359316" 1328.3 14.7754466456982 -0.0262998189631996 49.64 6.9105351169456 196916.992859492 199.393655448042
"USR0000OBLA" 1487.4 14.4246601383159 -0.0700103818847698 51.1316666666667 1.8511548014766 189034.437800532 237.613246998335
"USR0000OBUE" 998.2 18.7246446869255 0.0602753874049027 48.4525 0.736007653585273 137334.427330632 182.72979144366
"USR0000OCAB" 1385.3 16.1992146440844 0.00193267996129448 48.525 0.568106673738523 250567.989283944 228.008559385206
"USR0000OCIN" 1473.4 15.8203906345821 -0.00591041757445074 53.97 1.00360732161911 170051.844200884 235.200301711068
"USR0000OEMI" 1170.4 16.9852061092608 0.100644306562947 53.625 1.03184397787209 157656.974510986 201.287608346244
"USR0000OFIE" 1028.1 15.7844632353749 0.106923222627975 54.3125 1.21390072777372 147781.535655169 209.419479006539
"USR0000OFOR" 1350.3 15.8686452547909 0.0184412356124528 46.2308333333333 0.587041485922857 268386.519464009 230.314040759562
"USR0000OGAD" 883.9 17.3370193168714 0.0256309232871549 51.855 0.578551467736242 130498.164592174 152.064448023446
"USR0000OHOY" 1659.6 14.714041844281 0.0672658254221265 49.21 1.29719702318756 234802.371778178 230.277618537638
"USR0000OLAV" 1418.8 15.384261107059 -0.0517871424103958 48.5483333333333 0.443073197327743 221953.368013685 206.085840831832
"USR0000OMOU" 1437.1 14.470895833992 0.145546178072091 50.0191666666667 1.1184166914133 157794.035081298 195.901614133758
"USR0000OROU" 1798.3 11.0226898791606 -0.0269266950849393 54.3175 2.87149174206069 193456.108564399 184.686336092645
"USR0000OSUG" 1082 14.2699684745097 -0.0113407237293227 56.8191666666667 0.695017602186554 119495.903222337 132.080532683944
"USR0000OTIM" 1834.9 12.2059146112029 -0.0424786681346237 53.0491666666667 0.78707050859273 230996.752524496 219.429466551175
"USR0000OTOK" 1024.1 16.9865202984247 0.0653483999115763 50.3075 0.964459284291686 150044.544471968 198.595616076462
"USS0021F10S" 1496.6 13.3875735242941 0.0174653710561145 51.7925 3.69407769607889 175853.429376579 231.926550533577
"USS0021F12S" 1749.6 13.4426170908639 -0.0417907847640286 48.5283333333333 1.6199394305183 254101.776565835 237.099662612754
"USS0021F21S" 1688.6 9.59545167275124 0.0521462500747083 55.5816666666667 1.91350927892839 174445.841599454 173.279163907488
"USS0021F22S" 1478.3 14.1517558980507 -0.0511609469690554 51.0641666666667 1.26286671869815 196356.045288493 235.814546349752
"USS0022F03S" 1554.5 11.5659222536256 0.0174653710561145 53.7766666666667 2.64685838071657 168339.426432073 177.67788657132
"USS0022F04S" 1286.3 13.0206752721818 0.0255388988898747 56.5983333333333 1.75064745254219 163446.816160214 252.833163698609
"USS0022F05S" 816.9 16.095561393503 0.106923222627975 55.3725 1.34894771604946 155205.854583 175.973682810179
"USS0022F14S" 1709.9 9.74614572465154 0.0169950519457381 54.4683333333333 1.26546754665093 164349.400594572 186.555824983924
"USS0022F18S" 1609.3 13.0489753382813 -0.0425331848484945 53.68 3.19774570099257 171901.396621387 225.683915511693
"USS0022F42S" 1502.7 11.7661431083812 -0.011380143889435 58.4483333333333 0.868907608447963 126560.367550678 193.579177561151
"USS0022F43S" 1508.8 11.7985630459433 0.0618048430185609 59.1558333333333 0.975413997652911 166537.304840471 181.921081252865
